id;hotel_name;hotel_city;hotel_price;hotel_type;hotel_rating;total_review;link
400056;Marriott's Autograph Collection The Stones Hotel Bali;Bali;Rp 2.591.989;Resorts;08.08;591;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10021723-2560x1555-FIT_AND_TRIM-ae7a2e4d85b25a9adc2bd4c03974245f.jpeg?tr=q-40
400336;Horison Seminyak;Bali;Rp 676.800;Hotels;08.04;3279;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10002197-720x1081-FIT_AND_TRIM-7d4031cda21b990b33b80e24e1be3247.jpeg?tr=q-40
3000020007139;Episode Kuta Bali;Bali;Rp 643.500;Hotels;08.05;1432;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20007139-45641a40235ada19a44df291b7bface6.jpeg?tr=q-40
109883;The Haven Bali Seminyak;Bali;Rp 899.000;Resorts;08.05;1118;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10003141-2035x1170-FIT_AND_TRIM-18d9f79e97b3673beeec65a6d2a183b1.jpeg?tr=q-40
9000000822112;Andaz Bali - a concept by Hyatt;Bali;Rp 4.933.202;Resorts;09.01;36;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20039653-2ca6f66905139c91f7402c55b98b1063.jpeg?tr=q-40
176849;ASTON Denpasar Hotel Convention Center;Bali;Rp 596.700;Hotels;08.03;2393;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10006965-5fb76d027e228ecaaa7617ca6ed21e6a.png?tr=q-40
3000020003573;Aryaduta Bali;Bali;Rp 1.408.000;Hotels;08.07;532;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/20003573-32d8e5f587bea289173e451c878ca2c2.jpeg?tr=q-40
9000000970749;Kamaniiya Petitenget Seminyak;Bali;Rp 324.000;Hotels;08.08;710;https://ik.imagekit.io/tvlk/apr-asset/Ixf4aptF5N2Qdfmh4fGGYhTN274kJXuNMkUAzpL5HuD9jzSxIGG5kZNhhHY-p7nw/hotel/asset/67816138-3d080e8479f08a81c4b461455ce5b4f7.jpeg?tr=q-40
248405;The ONE Legian;Bali;Rp 632.813;Hotels;08.05;7486;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10002578-211edc66f600c3194cf3200718644b0d.jpeg?tr=q-40
409115;Atanaya Kuta Bali;Bali;Rp 867.328;Hotels;08.06;13450;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000756-209e2b7c9702b036cd1be002eb73bede.jpeg?tr=q-40
3000010000329;MERUSAKA Nusa Dua;Bali;Rp 3.644.550;Resorts;08.09;2401;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000329-fc597211373fcc8eeb03ba05d864cde1.jpeg?tr=q-40
3000010001654;Golden Tulip Jineng Resort Bali;Bali;Rp 842.400;Resorts;08.05;2318;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10001654-e4c10c890b52f7017e2b38dd7f767892.jpeg?tr=q-40
8650;Hard Rock Hotel Bali;Bali;Rp 14.442.185;Hotels;08.08;1277;https://ik.imagekit.io/tvlk/apr-asset/TzEv3ZUmG4-4Dz22hvmO9NUDzw1DGCIdWl4oPtKumOg=/hotels/1000000/530000/526600/526559/6dd1658d_z.jpg?tr=q-40
10335;Grand Mirage Resort Thalasso Bali;Bali;Rp 2.398.115;Resorts;08.05;439;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10002072-2048x1536-FIT_AND_TRIM-f884fd3b753254785472b49a09a02b0a.jpeg?tr=q-40
